participant,version,group,country,eye_tracked,vision,DELE ,age,parents_lang,education,gender,handed,AoA_L2,age_fluent_L2,other_lang,mo_ES_country,l1_school,l2_school,expos_baby,expos_child,expos_adult,percent_l1_week,percent_l2_week,sports,sport_length,sport_pro,music,music_length,music_pro,drive,drive_length,WM_set,WM_word_order
MON18,2,mon,es,left,contacts,na,28,yes,undergrad,male,right,6,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english",5,95,judo,10,no,no,na,no,yes,9,4,37
MON19,3,mon,es,right,normal,na,18,yes,undergrad,female,right,5,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",10,90,volleyball,1,no,dance,11,no,no,na,8,47
MON20,4,mon,es,right,glasses,na,21,yes,undergrad,female,right,5,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english",5,95,soccer,1.5,no,no,no,no,no,na,1,30
MON21,1,mon,es,left,glasses,na,30,yes,FP,female,right,3,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english",10,90,swimming,5,no,no,no,no,yes,10 (no conduce),3,32
MON22,2,mon,es,right,normal,na,25,yes,master,male,right,6,na,no,9,"E., M., H., U.",H.,spanish,"spanish, english","spanish, english, french",30,70,"soccer, muay thai, krav maga, tennis, running","soc 7, mt 1.5, km 2, tennis 2, run 12",no,no,no,no,yes,3,8,50
MON23,3,mon,es,right,normal,na,42,yes,undergrad,female,right,40,na,Italian,0,"E., M., H., U.",U.,spanish,spanish,"spanish, english, italian",20,80,volleyball,4,no,no,no,no,no,na,4,35
MON24,4,mon,es,right,contacts,na,18,yes,undergrad,female,right,6,na,no,0,"E., M., H., U.",no,spanish,"spanihs, english","spanish, english, catalonian",5,95,"skating, volleyball, badmington","sk 5, vb 2, bd 3",no,dance,6,no,no,na,3,40
MON25,1,mon,es,right,glasses,na,19,yes,FP,male,right,6,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",15,85,soccer,8,yes,no,no,no,no,no,6,41
MON26,2,mon,es,right,normal,na,45,yes,bachillerato,female,right,11,na,no,0,"E., M., H.",no,spanish,spanish,"spanish, english",5,95,"rhythmic gym, basketball, soccer, volleyball, athletics","rg 6, bk 8, s 10, vb 1.5, ath 3",yes,piano,8,no,yes,12,5,42
MON27,3,mon,es,right,normal,na,43,yes,bachillerato,male,left,12,na,no,0,"E., M., H.",no,spanish,spanish,"spanish, english",0,100,cycling,14,no,dancing,1.5,no,yes,18,4,41
MON28,4,mon,es,right,normal,na,45,yes,bachillerato,female,right,7,na,no,0,"E., M., H.",no,spanish,"spanish, english","spanish, english",10,90,swimming,10,no,no,no,no,yes,27,10,51
MON29,1,mon,es,right,glasses,na,30,yes,undergrad,female,right,5,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english, french",2,98,no,no,no,dancing,4,no,yes,10,8,46
MON30,2,mon,es,right,normal,na,18,yes,undergrad,female,right,6,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english, french",5,95,padel,"padel 2, sw 2",no,dance,6,no,no,na,9,51
